 10,10	|0.7500	|0.5000	|0.7188	|0.6406	|0.5391	|0.4961	|0.4883	|0.4600	|0.4541	|0.4734	|0.4672	|0.4673	|0.4679	|0.4679	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30,10	|1.0000	|0.8125	|0.8438	|0.7969	|0.7422	|0.6875	|0.6797	|0.6328	|0.6436	|0.6614	|0.6689	|0.6775	|0.6744	|0.6742	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50,10	|1.0000	|0.8750	|0.8438	|0.8281	|0.7812	|0.7305	|0.7422	|0.7002	|0.7139	|0.7222	|0.7325	|0.7361	|0.7336	|0.7339	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70,10	|1.0000	|0.8125	|0.7812	|0.7344	|0.7266	|0.6914	|0.6875	|0.6582	|0.6694	|0.6748	|0.6815	|0.6821	|0.6773	|0.6770	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90,10	|0.7500	|0.6875	|0.6562	|0.5625	|0.4609	|0.4453	|0.4688	|0.4678	|0.4790	|0.4827	|0.4899	|0.4872	|0.4730	|0.4724	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95,10	|0.7500	|0.6875	|0.5625	|0.5156	|0.3984	|0.3398	|0.3730	|0.3750	|0.3862	|0.3906	|0.3997	|0.3973	|0.3808	|0.3804	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98,10	|0.7500	|0.5000	|0.4375	|0.3750	|0.3125	|0.2969	|0.3164	|0.2979	|0.2988	|0.3110	|0.3158	|0.3171	|0.3107	|0.3088	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99,10	|0.7500	|0.5000	|0.4375	|0.3750	|0.3125	|0.2461	|0.2520	|0.2490	|0.2529	|0.2644	|0.2775	|0.2799	|0.2743	|0.2754	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1,50	|1.0000	|0.8750	|0.7188	|0.6406	|0.5781	|0.5430	|0.5547	|0.5381	|0.5361	|0.5493	|0.5381	|0.5406	|0.5410	|0.5383	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2,50	|1.0000	|0.8750	|0.7188	|0.7188	|0.6250	|0.6133	|0.5996	|0.5801	|0.5674	|0.5847	|0.5739	|0.5721	|0.5701	|0.5675	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5,50	|1.0000	|0.8750	|0.8438	|0.7812	|0.6641	|0.6523	|0.6641	|0.6475	|0.6338	|0.6499	|0.6428	|0.6422	|0.6422	|0.6443	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10,50	|1.0000	|0.8750	|1.0000	|0.9062	|0.8047	|0.7891	|0.7617	|0.7676	|0.7441	|0.7534	|0.7358	|0.7321	|0.7347	|0.7342	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30,50	|1.2500	|1.1875	|1.1562	|1.0625	|1.0078	|0.9844	|0.9531	|0.9404	|0.9331	|0.9414	|0.9376	|0.9422	|0.9413	|0.9405	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50,50	|1.2500	|1.2500	|1.1562	|1.0781	|1.0469	|1.0273	|1.0156	|1.0088	|1.0039	|1.0022	|1.0012	|1.0008	|1.0005	|1.0002	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70,50	|1.2500	|1.1875	|1.0625	|1.0000	|0.9922	|0.9883	|0.9609	|0.9658	|0.9590	|0.9548	|0.9502	|0.9468	|0.9442	|0.9403	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90,50	|1.1250	|0.8750	|1.0000	|0.9062	|0.7812	|0.7695	|0.7305	|0.7207	|0.7349	|0.7346	|0.7307	|0.7357	|0.7372	|0.7363	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95,50	|1.1250	|0.8750	|0.9375	|0.8281	|0.7266	|0.6875	|0.6719	|0.6416	|0.6509	|0.6450	|0.6396	|0.6451	|0.6452	|0.6459	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98,50	|1.1250	|0.8750	|0.7188	|0.6406	|0.5781	|0.5703	|0.5781	|0.5625	|0.5645	|0.5686	|0.5662	|0.5727	|0.5728	|0.5733	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99,50	|1.1250	|0.8750	|0.7188	|0.6406	|0.5781	|0.5703	|0.5547	|0.5439	|0.5254	|0.5398	|0.5364	|0.5372	|0.5379	|0.5407	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1,90	|0.7500	|0.6875	|0.4375	|0.2656	|0.3359	|0.2969	|0.2812	|0.2764	|0.2837	|0.2800	|0.2844	|0.2888	|0.2805	|0.2796	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2,90	|0.7500	|0.6875	|0.4375	|0.4062	|0.4219	|0.3477	|0.3164	|0.3008	|0.3013	|0.3030	|0.3059	|0.3153	|0.3061	|0.3055	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5,90	|0.7500	|0.6875	|0.5625	|0.4531	|0.5391	|0.5234	|0.4570	|0.4150	|0.3970	|0.3840	|0.3807	|0.3860	|0.3752	|0.3787	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10,90	|0.7500	|0.6875	|0.5625	|0.5312	|0.6016	|0.5859	|0.5098	|0.5078	|0.4976	|0.4763	|0.4797	|0.4799	|0.4683	|0.4721	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30,90	|0.7500	|1.0000	|0.8125	|0.6875	|0.7578	|0.7305	|0.6953	|0.6846	|0.6860	|0.6821	|0.6847	|0.6874	|0.6766	|0.6808	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50,90	|1.0000	|1.0625	|0.8438	|0.7188	|0.8047	|0.7812	|0.7383	|0.7383	|0.7393	|0.7432	|0.7462	|0.7458	|0.7375	|0.7385	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70,90	|1.0000	|1.0625	|0.8438	|0.6875	|0.7344	|0.7227	|0.6738	|0.6641	|0.6733	|0.6838	|0.6890	|0.6880	|0.6797	|0.6785	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90,90	|0.7500	|0.6875	|0.7188	|0.5312	|0.5391	|0.5234	|0.4570	|0.4531	|0.4692	|0.4749	|0.4755	|0.4807	|0.4743	|0.4745	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95,90	|0.7500	|0.6875	|0.6562	|0.4531	|0.4844	|0.4414	|0.3984	|0.3750	|0.3848	|0.3850	|0.3844	|0.3902	|0.3823	|0.3841	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98,90	|0.7500	|0.6875	|0.4375	|0.2656	|0.3359	|0.3242	|0.3047	|0.2949	|0.2983	|0.3088	|0.3109	|0.3177	|0.3099	|0.3116	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99,90	|0.7500	|0.6875	|0.4375	|0.2656	|0.3359	|0.3242	|0.2812	|0.2764	|0.2593	|0.2800	|0.2811	|0.2823	|0.2750	|0.2789	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1,99	|0.7500	|0.6875	|0.4375	|0.2656	|0.1953	|0.1523	|0.1289	|0.1162	|0.1084	|0.0894	|0.0846	|0.0895	|0.0847	|0.0816	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2,99	|0.7500	|0.6875	|0.4375	|0.4062	|0.2734	|0.2031	|0.1641	|0.1406	|0.1265	|0.1125	|0.1061	|0.1161	|0.1104	|0.1074	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5,99	|0.7500	|0.6875	|0.5625	|0.4531	|0.3984	|0.3750	|0.3027	|0.2539	|0.2217	|0.1936	|0.1808	|0.1868	|0.1795	|0.1806	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10,99	|0.7500	|0.6875	|0.5625	|0.5312	|0.4609	|0.4414	|0.3574	|0.3477	|0.3223	|0.2859	|0.2798	|0.2807	|0.2726	|0.2701	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30,99	|1.0000	|0.8750	|0.6875	|0.6250	|0.5312	|0.4844	|0.4668	|0.4717	|0.4688	|0.4709	|0.4697	|0.4744	|0.4749	|0.4792	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50,99	|1.0000	|0.8750	|0.7188	|0.6250	|0.5781	|0.5469	|0.5254	|0.5234	|0.5356	|0.5396	|0.5388	|0.5361	|0.5352	|0.5377	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70,99	|1.0000	|0.8125	|0.6562	|0.5469	|0.5000	|0.4805	|0.4434	|0.4580	|0.4858	|0.4868	|0.4843	|0.4777	|0.4778	|0.4795	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90,99	|0.7500	|0.5000	|0.3125	|0.3750	|0.3125	|0.2617	|0.2031	|0.2354	|0.2461	|0.2651	|0.2726	|0.2714	|0.2729	|0.2708	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95,99	|0.7500	|0.5000	|0.3125	|0.3750	|0.2578	|0.1875	|0.1387	|0.1475	|0.1533	|0.1829	|0.1881	|0.1789	|0.1798	|0.1809	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98,99	|0.7500	|0.5000	|0.3125	|0.1875	|0.1094	|0.0625	|0.0352	|0.0654	|0.0894	|0.1069	|0.1100	|0.1077	|0.1082	|0.1109	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99,99	|0.7500	|0.5000	|0.3125	|0.1875	|0.1094	|0.0625	|0.0352	|0.0449	|0.0669	|0.0750	|0.0806	|0.0746	|0.0761	|0.0776	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|

ENTROPIA TEORICA DELLA SORGENTE
	 8	 16	 32	 64	 128	 256	 512	 1024	 2048	 4096	 8192	 16384	 32768	 65536
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1,1	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2,1	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5,1	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10,1	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30,1	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50,1	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70,1	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|0.4810	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90,1	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95,1	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|0.1836	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98,1	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|0.1111	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99,1	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1,10	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2,10	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5,10	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10,10	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30,10	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50,10	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70,10	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90,10	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95,10	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98,10	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99,10	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1,50	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2,50	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5,50	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10,50	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30,50	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50,50	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|1.0000	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70,50	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|0.9406	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90,50	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95,50	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|0.6432	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98,50	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|0.5707	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99,50	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|0.5404	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1,90	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 2,90	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 5,90	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 10,90	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 30,90	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 50,90	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|0.7345	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 70,90	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|0.6751	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 90,90	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|0.4690	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 95,90	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|0.3777	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 98,90	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|0.3052	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 99,90	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|0.2749	|
--------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 1,99	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|0.0808	|
